Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
140281,92,92,92,92,82,78,87,84,84,87
140286,89,88,94,92,86,79,92,83,87,86
140288,89,88,92,92,82,75,88,82,84,84
140289,90,90,92,92,87,82,92,83,90,85
140290,87,86,90,89,80,73,87,77,89,80
140291,90,90,93,90,82,77,90,82,89,83
140292,82,77,87,86,80,68,84,76,89,75
140294,91,90,94,94,89,83,89,83,79,87
140304,84,82,89,88,80,73,87,77,90,84
14034F,90,88,92,91,85,81,89,82,90,84
141302,98,98,98,98,96,92,93,91,99,93
141305,94,95,95,95,88,87,92,85,92,88
141310,91,90,94,89,88,81,90,82,92,92
141316,94,92,97,95,95,83,86,86,99,87
141317,94,93,93,93,91,76,94,86,93,91
141319,91,89,96,94,94,81,88,82,92,84
141320,92,91,93,96,86,85,93,84,88,82
141322,90,92,92,89,84,77,91,83,90,86
141327,95,95,97,97,94,88,88,86,95,89
141336,93,91,96,95,87,81,92,84,92,90
141337,88,86,92,89,84,82,89,83,91,84
141343,93,88,96,94,91,87,93,84,95,87
141348,91,90,92,91,87,82,90,82,91,84
141350,94,92,95,95,93,84,90,86,91,88
141351,91,88,95,97,89,80,89,83,90,83
150001,91,90,92,93,87,76,90,83,91,83
150002,80,77,86,86,72,70,79,75,78,78
150005,93,94,93,93,85,78,89,85,92,84
150006,89,86,93,89,87,77,88,80,89,86
150007,91,90,95,92,88,81,91,84,92,86
150008,85,84,88,88,81,73,85,78,86,78
150009,81,79,87,86,76,66,80,76,81,80
150010,87,87,90,91,85,75,86,80,87,83
150011,87,84,92,90,84,73,90,80,89,83
150012,86,85,89,89,80,69,83,79,86,80
150015,88,88,92,88,84,73,86,80,82,85
150017,84,82,89,89,82,69,85,78,86,78
150018,86,84,90,90,81,70,86,79,86,81
150021,91,92,92,88,86,73,90,81,90,87
150022,87,86,94,91,88,79,88,83,91,85
150023,86,86,89,89,80,72,85,80,86,81
150024,90,88,89,90,81,74,85,80,84,84
150026,92,91,93,93,87,75,90,83,88,87
150030,91,88,94,92,86,75,89,83,92,84
150034,89,88,91,90,80,73,86,82,83,82
150035,82,79,90,88,79,70,82,76,82,78
150037,91,90,93,91,86,79,91,85,93,87
15003F,90,89,91,92,85,80,90,85,84,79
150042,88,87,90,90,82,74,87,81,92,86
150044,87,88,90,88,83,72,85,80,83,80
150045,90,85,92,87,87,78,87,80,91,83
150046,86,85,90,87,82,76,82,80,89,78
150047,92,91,93,94,88,82,92,83,96,89
150048,85,84,88,88,76,72,86,78,88,80
15004F,91,90,93,92,90,83,86,83,92,84
150051,84,83,89,91,77,69,85,80,76,81
150056,83,83,87,89,75,69,86,80,78,78
150057,91,90,92,93,85,77,88,83,83,85
150058,88,89,92,91,85,74,85,80,86,75
150059,91,90,92,92,83,75,89,82,85,86
150061,88,86,93,92,89,70,86,77,85,82
150065,90,89,91,91,85,76,89,80,89,83
150069,89,86,92,93,84,77,90,83,84,85
150072,91,90,93,93,88,80,91,81,88,83
150074,91,92,93,92,87,79,90,83,85,86
150075,90,87,94,92,88,78,88,82,91,84
150076,88,86,93,91,90,75,88,83,91,83
150082,87,87,91,90,77,72,81,80,76,84
150084,86,85,87,90,78,68,85,79,81,80
150086,91,89,94,93,90,83,92,83,94,87
150088,87,86,90,90,85,69,84,80,89,81
150089,84,82,89,89,78,68,86,79,81,83
150090,85,83,90,90,80,74,86,78,89,81
150091,91,88,93,89,87,75,90,80,91,87
150097,88,87,92,92,82,75,89,83,93,86
150100,88,88,90,91,82,74,87,81,89,84
150101,91,91,93,89,87,78,89,81,91,85
150104,90,89,92,93,85,77,87,82,85,83
150109,90,90,92,90,85,75,91,82,89,85
150112,88,86,92,91,84,73,89,81,86,77
150113,90,91,92,92,84,74,91,83,85,80
150115,92,92,94,94,86,82,91,85,87,89
150125,89,87,91,88,83,74,84,81,81,81
150126,85,85,91,89,79,74,89,81,83,81
150128,89,89,91,90,82,77,88,83,88,84
150133,87,85,90,90,80,72,89,80,89,81
150146,88,87,89,88,86,78,88,81,91,85
150149,94,94,93,92,86,77,87,86,93,85
150150,88,88,90,90,83,72,85,80,85,81
150153,93,95,94,94,88,77,89,84,86,80
150157,87,88,90,92,80,73,85,81,86,80
150158,88,89,89,91,76,69,84,81,84,81
150160,94,96,95,95,93,86,94,87,92,91
150161,87,89,88,92,75,70,84,82,78,78
150162,89,90,91,90,81,72,89,82,85,77
150165,90,90,92,92,86,79,88,82,91,89
150166,92,92,94,92,91,82,88,82,93,92
150167,92,93,92,90,88,75,90,84,90,86
150168,90,90,91,93,85,79,91,82,87,87
150169,89,91,91,90,82,72,88,83,79,81
150173,88,87,90,90,79,71,85,80,83,80
150177,94,93,96,90,94,86,91,86,91,95
150181,91,91,92,93,87,79,86,82,78,86
150183,91,93,92,92,86,76,86,82,90,88
150193,94,93,95,94,93,84,95,88,88,92
151300,92,90,92,91,90,76,90,85,93,87
151310,94,91,96,90,90,79,92,84,91,90
151313,93,90,95,95,93,85,93,84,91,88
151315,91,90,92,92,85,80,86,82,93,87
151317,92,90,95,93,92,82,92,85,91,84
151318,90,86,92,94,89,79,88,82,95,85
151322,91,84,94,94,91,78,92,82,94,90
151323,93,94,95,93,93,78,90,86,94,92
151329,88,88,92,91,82,77,86,82,88,83
151330,90,89,94,92,91,80,89,83,86,86
151331,92,89,94,93,89,80,90,80,86,83
151332,92,88,95,95,92,81,87,84,92,86
160001,89,87,93,92,86,79,86,84,90,86
160013,87,85,92,88,87,74,91,80,86,80
160016,86,83,91,91,82,76,89,81,88,77
160028,87,87,91,89,82,77,88,80,85,85
160029,87,87,90,91,79,73,85,79,78,84
160030,91,92,92,91,81,79,88,83,88,88
160032,85,83,91,86,86,73,88,81,81,81
160033,85,84,89,89,75,74,86,78,82,80
16003F,90,90,96,95,88,87,90,87,91,81
160045,91,92,91,91,83,75,89,82,89,85
160047,92,91,94,92,88,80,90,84,90,84
16004F,93,93,93,93,89,86,90,87,90,89
160057,84,82,88,89,78,74,86,78,87,80
160058,87,88,90,90,78,75,88,81,83,73
160064,87,85,91,89,85,76,88,80,88,80
160067,85,84,89,88,81,71,85,80,83,81
160069,90,90,94,92,87,77,88,85,82,82
160079,89,90,90,90,80,74,85,81,83,84
160080,89,85,93,92,87,78,89,81,86,82
160082,88,88,90,91,79,71,87,80,85,82
160083,85,83,89,89,77,70,86,78,83,79
160089,74,68,82,83,73,61,80,73,68,74
